year,summer_Ca_spring,summer_Ca_summer,summer_Ca_autumn,summer_Ca_winter
0,0.549951833301637,0.544488851969297,0.529377741202062,0.543563320166797
1,0.529955044835023,0.528878094595716,0.525005310402653,0.534319242747251
2,0.54375672391745,0.531877285383492,0.524378159763522,0.545123512815444
3,0.555091494135574,0.537708564954106,0.525425218744889,0.555910227950212
4,0.563563146952802,0.54978502731813,0.53717143540052,0.55572151191083
5,0.562289874155543,0.556350710668368,0.540575305094688,0.554220845085637
6,0.560927645421519,0.555385639785323,0.539281191641751,0.551714835427917
7,0.558320817368587,0.553603885100801,0.53698700590248,0.549011824538731
8,0.555944600578254,0.551121532776493,0.534294615159498,0.547685261449087
9,0.554675411550386,0.549031631625425,0.532554165121118,0.546310114398515
